original_order,learning_order,greek,headword,translation,greeklex_rank,lemma_freq,word_freq,zipf_freq,pos,matched_word,match_type,duplicate_of
693,46,νιώθω,νιώθω,"чувствовать, ощущать",960,127.5,16.4,4.215,verb,νιώθω,exact,
752,47,σκέφτομαι,σκέφτομαι,думать,843,146.7,13.1,4.118,verb,σκέφτομαι,exact,
668,48,κοιμάμαι,κοιμάμαι,спать,2482,35.8,1.1,3.052,verb,κοιμάμαι,exact,
702,49,ξυπνώ,ξυπνώ,просыпаться,,,,,,,,
669,50,κολυμπώ,κολυμπώ,плавать,,,,,,,,
719,51,περπατώ,περπατώ,"ходить пешком, гулять",2946,27.5,0.8,2.919,verb,περπατάω,verb_alt,
776,52,ταξιδεύω,ταξιδεύω,путешествовать,1928,51.6,1.3,3.12,verb,ταξιδεύω,exact,
703,53,οδηγώ,οδηγώ,"водить (машину), вести",282,385.2,0.9,2.961,verb,οδηγώ,exact,
709,54,παραγγέλνω,παραγγέλνω,заказывать,4235,15.2,0.0,1.327,verb,παραγγέλλω,alias,
681,55,μαγειρεύω,μαγειρεύω,готовить (еду),6369,7.1,0.2,2.327,verb,μαγειρεύω,exact,
571,56,τώρα,τώρα,сейчас,100,837.4,837.4,5.923,adv,τώρα,exact,
564,57,σήμερα,σήμερα,сегодня,85,977.9,977.9,5.99,adv,σήμερα,exact,
573,58,χθες,χθες,вчера,109,791.1,779.2,5.891,adv,χθες,exact,
512,59,αύριο,αύριο,завтра,771,161.0,161.0,5.207,adv,αύριο,exact,
521,60,εδώ,εδώ,здесь,137,686.6,638.1,5.805,adv,εδώ,exact,
560,61,πού,πού,"где, куда",722,172.8,172.8,5.237,adv,πού,exact,
563,62,πώς,πώς,как,248,431.5,431.5,5.635,adv,πώς,exact,
559,63,πότε,πότε,когда,1139,104.2,104.2,5.018,adv,πότε,exact,
556,64,πολύ,πολύ,"очень, много",42,1714.8,1342.2,6.127,adv,πολύ,exact,
537,65,λίγο,λίγο,"немного, мало",220,473.6,321.3,5.507,adv,λίγο,exact,
532,66,καλά,καλά,хорошо,,,,,,,,
539,67,μαζί,μαζί,вместе,234,453.0,453.0,5.656,adv,μαζί,exact,
544,68,μόνο,μόνο,только,52,1437.4,1264.3,6.102,adv,μόνο,exact,
550,69,πάντα,πάντα,всегда,365,310.3,310.3,5.491,adv,πάντα,exact,
558,70,ποτέ,ποτέ,никогда,384,298.0,297.7,5.473,adv,ποτέ,exact,
567,71,συχνά,συχνά,часто,,,,,,,,
566,72,συνήθως,συνήθως,обычно,913,135.0,133.3,5.125,adv,συνήθως,exact,
533,73,καμιά φορά,καμιά φορά,иногда,,,,,,,,
542,74,μέσα,μέσα,"внутри, в",75,1108.6,1084.9,6.035,adv,μέσα,exact,
523,75,έξω,έξω,"снаружи, вне",602,204.8,204.0,5.309,adv,έξω,exact,
551,76,πάνω,πάνω,"вверх, наверху",198,520.7,520.1,5.716,adv,πάνω,exact,
534,77,κάτω,κάτω,"вниз, внизу",324,338.7,328.7,5.516,adv,κάτω,exact,
555,78,πίσω,πίσω,"назад, сзади",449,259.2,256.7,5.409,adv,πίσω,exact,
545,79,μπροστά,μπροστά,"впереди, перед",564,218.3,218.3,5.339,adv,μπροστά,exact,
536,80,κοντά,κοντά,"близко, рядом",629,196.5,195.2,5.29,adv,κοντά,exact,
540,81,μακριά,μακριά,далеко,829,149.3,85.0,4.929,adv,μακριά,exact,
234,82,το σπίτι,σπίτι,дом,375,303.1,206.9,5.315,noun,σπίτι,exact,
92,83,η μέρα,μέρα,день,283,384.8,164.8,5.217,noun,μέρα,exact,
1,84,η ημέρα,ημέρα,день,243,440.2,139.5,5.144,noun,ημέρα,exact,
339,85,η ώρα,ώρα,"час, время",188,548.6,335.9,5.526,noun,ώρα,exact,
327,86,ο χρόνος,χρόνος,"время, год",45,1664.6,97.6,4.989,noun,χρόνος,exact,
99,87,ο μήνας,μήνας,месяц,76,1100.2,9.7,3.987,noun,μήνας,exact,
206,88,το πρωί,πρωί,утро,849,145.5,145.5,5.163,noun,πρωί,exact,
94,89,το μεσημέρι,μεσημέρι,полдень,1370,83.2,81.6,4.911,noun,μεσημέρι,exact,
130,90,η νύχτα,νύχτα,ночь,1303,87.6,63.0,4.799,noun,νύχτα,exact,
149,91,το παιδί,παιδί,ребёнок,203,512.6,118.9,5.075,noun,παιδί,exact,
101,92,η μητέρα,μητέρα,"мать, мама",1111,107.3,72.8,4.862,noun,μητέρα,exact,
166,93,ο πατέρας,πατέρας,отец,856,144.5,65.2,4.814,noun,πατέρας,exact,
87,94,η μαμά,μαμά,мама,3457,21.2,17.4,4.241,noun,μαμά,exact,
111,95,ο μπαμπάς,μπαμπάς,папа,4214,15.3,7.1,3.852,noun,μπαμπάς,exact,
138,96,η οικογένεια,οικογένεια,семья,799,155.7,63.9,4.805,noun,οικογένεια,exact,
310,97,ο φίλος,φίλος,друг,571,215.7,32.5,4.512,noun,φίλος,exact,
307,98,η φίλη,φίλη,подруга,1943,51.2,15.5,4.191,noun,φίλη,exact,
119,99,το νερό,νερό,вода,763,163.0,77.5,4.889,noun,νερό,exact,
299,100,το φαγητό,φαγητό,"еда, пища",3150,24.7,16.9,4.228,noun,φαγητό,exact,
35,101,ο καφές,καφές,кофе,2654,31.9,3.5,3.548,noun,καφές,exact,
337,102,το ψωμί,ψωμί,хлеб,3011,26.5,21.5,4.333,noun,ψωμί,exact,
60,103,το κρέας,κρέας,мясо,2922,27.7,12.6,4.101,noun,κρέας,exact,
334,104,το ψάρι,ψάρι,рыба,3375,22.1,5.7,3.757,noun,ψάρι,exact,
316,105,το φρούτο,φρούτο,фрукт,4961,11.3,1.4,3.154,noun,φρούτο,exact,
68,106,το λαχανικό,λαχανικό,овощ,6222,7.4,0.1,2.106,noun,λαχανικό,exact,
79,107,το μαγαζί,μαγαζί,магазин,2966,27.2,13.6,4.134,noun,μαγαζί,exact,
232,108,το σούπερμάρκετ,σούπερμάρκετ,супермаркет,5029,11.1,11.1,4.046,noun,σουπερμάρκετ,exact_accentless,
259,109,η ταβέρνα,ταβέρνα,таверна,5603,9.1,5.1,3.709,noun,ταβέρνα,exact,
